date;Direction;v_count;v_vel
2022-01-04 21:00:00;Околовръстно;54;51.27777777777778
2022-01-04 21:00:00;Център;35;46.22857142857143
2022-01-04 22:00:00;Околовръстно;40;50.05
2022-01-04 22:00:00;Център;27;49.25925925925926
2022-01-04 23:00:00;Околовръстно;22;54.63636363636363
2022-01-04 23:00:00;Център;21;53.19047619047619
2022-01-05 00:00:00;Околовръстно;19;52.05263157894737
2022-01-05 00:00:00;Център;23;50.869565217391305
2022-01-05 01:00:00;Околовръстно;5;45.2
2022-01-05 01:00:00;Център;3;51.66666666666666
2022-01-05 02:00:00;Околовръстно;2;56.0
2022-01-05 02:00:00;Център;4;46.5
2022-01-05 03:00:00;Околовръстно;3;37.66666666666666
2022-01-05 03:00:00;Център;5;45.0
2022-01-05 04:00:00;Околовръстно;5;44.8
2022-01-05 04:00:00;Център;11;52.0
2022-01-05 05:00:00;Околовръстно;22;46.0
2022-01-05 05:00:00;Център;31;37.096774193548384
2022-01-05 06:00:00;Околовръстно;62;49.66129032258065
2022-01-05 06:00:00;Център;64;44.8125
2022-01-05 07:00:00;Околовръстно;156;50.31410256410256
2022-01-05 07:00:00;Център;198;49.196969696969695
2022-01-05 08:00:00;Околовръстно;160;50.36875
2022-01-05 08:00:00;Център;158;50.63924050632912
2022-01-05 09:00:00;Околовръстно;151;50.51655629139073
2022-01-05 09:00:00;Център;123;44.8780487804878
2022-01-05 10:00:00;Околовръстно;153;51.75816993464052
2022-01-05 10:00:00;Център;152;48.25
2022-01-05 11:00:00;Околовръстно;169;50.89349112426036
2022-01-05 11:00:00;Център;158;49.70253164556962
2022-01-05 12:00:00;Околовръстно;169;51.67455621301775
2022-01-05 12:00:00;Център;170;47.62352941176471
2022-01-05 13:00:00;Околовръстно;172;50.09883720930232
2022-01-05 13:00:00;Център;180;50.16666666666666
2022-01-05 14:00:00;Околовръстно;167;50.94011976047904
2022-01-05 14:00:00;Център;145;47.56551724137931
2022-01-05 15:00:00;Околовръстно;170;50.917647058823526
2022-01-05 15:00:00;Център;169;49.1301775147929
2022-01-05 16:00:00;Околовръстно;213;49.948356807511736
2022-01-05 16:00:00;Център;218;46.91743119266055
2022-01-05 17:00:00;Околовръстно;260;49.55
2022-01-05 17:00:00;Център;287;46.84320557491289
2022-01-05 18:00:00;Околовръстно;202;49.52475247524752
2022-01-05 18:00:00;Център;193;49.76165803108808
2022-01-05 19:00:00;Околовръстно;128;50.9609375
2022-01-05 19:00:00;Център;122;52.50819672131148
2022-01-05 20:00:00;Околовръстно;78;51.15384615384615
2022-01-05 20:00:00;Център;63;45.98412698412698
2022-01-05 21:00:00;Околовръстно;42;49.80952380952381
2022-01-05 21:00:00;Център;38;47.89473684210526
2022-01-05 22:00:00;Околовръстно;41;54.46341463414634
2022-01-05 22:00:00;Център;19;48.26315789473684
2022-01-05 23:00:00;Околовръстно;21;55.80952380952381
2022-01-05 23:00:00;Център;29;50.0
2022-01-06 00:00:00;Околовръстно;11;57.36363636363637
2022-01-06 00:00:00;Център;13;44.07692307692308
2022-01-06 01:00:00;Околовръстно;3;53.66666666666666
2022-01-06 01:00:00;Център;7;33.142857142857146
2022-01-06 02:00:00;Околовръстно;5;51.0
2022-01-06 02:00:00;Център;2;47.0
2022-01-06 03:00:00;Околовръстно;2;53.0
2022-01-06 03:00:00;Център;6;47.5
2022-01-06 04:00:00;Околовръстно;4;46.75
2022-01-06 04:00:00;Център;8;62.625
2022-01-06 05:00:00;Околовръстно;23;47.47826086956522
2022-01-06 05:00:00;Център;32;37.375
2022-01-06 06:00:00;Околовръстно;58;49.60344827586207
2022-01-06 06:00:00;Център;58;45.10344827586207
2022-01-06 07:00:00;Околовръстно;165;50.333333333333336
2022-01-06 07:00:00;Център;205;47.42926829268293
2022-01-06 08:00:00;Околовръстно;172;49.98255813953488
2022-01-06 08:00:00;Център;166;47.0
2022-01-06 09:00:00;Околовръстно;148;50.79054054054054
2022-01-06 09:00:00;Център;159;45.50314465408805
2022-01-06 10:00:00;Околовръстно;136;49.81617647058823
2022-01-06 10:00:00;Център;124;46.30645161290322
2022-01-06 11:00:00;Околовръстно;158;51.37974683544304
2022-01-06 11:00:00;Център;155;46.08387096774194
2022-01-06 12:00:00;Околовръстно;169;50.54437869822485
2022-01-06 12:00:00;Център;158;49.13291139240506
2022-01-06 13:00:00;Околовръстно;169;50.50295857988166
2022-01-06 13:00:00;Център;175;48.6
2022-01-06 14:00:00;Околовръстно;179;51.08379888268156
2022-01-06 14:00:00;Център;148;46.71621621621622
2022-01-06 15:00:00;Околовръстно;189;50.2962962962963
2022-01-06 15:00:00;Център;203;47.669950738916256
2022-01-06 16:00:00;Околовръстно;245;49.78367346938776
2022-01-06 16:00:00;Център;232;47.418103448275865
2022-01-06 17:00:00;Околовръстно;266;49.50751879699248
2022-01-06 17:00:00;Център;268;48.64179104477612
2022-01-06 18:00:00;Околовръстно;192;51.0625
2022-01-06 18:00:00;Център;198;45.65656565656565
2022-01-06 19:00:00;Околовръстно;151;50.74834437086093
2022-01-06 19:00:00;Център;119;51.0
2022-01-06 20:00:00;Околовръстно;64;49.8125
2022-01-06 20:00:00;Център;63;48.11111111111112
2022-01-06 21:00:00;Околовръстно;49;51.326530612244895
2022-01-06 21:00:00;Център;38;46.23684210526316
2022-01-06 22:00:00;Околовръстно;41;54.21951219512195
2022-01-06 22:00:00;Център;22;47.36363636363637
2022-01-06 23:00:00;Околовръстно;34;52.88235294117647
2022-01-06 23:00:00;Център;28;42.892857142857146
2022-01-07 00:00:00;Околовръстно;17;52.47058823529412
2022-01-07 00:00:00;Център;21;58.61904761904762
2022-01-07 01:00:00;Околовръстно;4;51.75
2022-01-07 01:00:00;Център;7;41.0
2022-01-07 02:00:00;Околовръстно;3;39.0
2022-01-07 02:00:00;Център;6;52.16666666666666
2022-01-07 03:00:00;Околовръстно;5;53.0
2022-01-07 03:00:00;Център;7;43.42857142857143
2022-01-07 04:00:00;Околовръстно;7;51.42857142857143
2022-01-07 04:00:00;Център;5;52.2
2022-01-07 05:00:00;Околовръстно;16;53.375
2022-01-07 05:00:00;Център;31;46.0
2022-01-07 06:00:00;Околовръстно;54;48.333333333333336
2022-01-07 06:00:00;Център;60;42.05
2022-01-07 07:00:00;Околовръстно;160;50.55625
2022-01-07 07:00:00;Център;201;48.30348258706468
2022-01-07 08:00:00;Околовръстно;154;50.65584415584416
2022-01-07 08:00:00;Център;190;48.526315789473685
2022-01-07 09:00:00;Околовръстно;156;50.6025641025641
2022-01-07 09:00:00;Център;130;44.64615384615384
2022-01-07 10:00:00;Околовръстно;131;50.2824427480916
2022-01-07 10:00:00;Център;172;45.71511627906977
2022-01-07 11:00:00;Околовръстно;151;50.96026490066225
2022-01-07 11:00:00;Център;176;45.55681818181818
2022-01-07 12:00:00;Околовръстно;192;50.734375
2022-01-07 12:00:00;Център;178;46.28651685393258
2022-01-07 13:00:00;Околовръстно;199;51.0
2022-01-07 13:00:00;Център;178;45.561797752808985
2022-01-07 14:00:00;Околовръстно;215;51.055813953488375
2022-01-07 14:00:00;Център;170;46.688235294117646
2022-01-07 15:00:00;Околовръстно;179;50.42458100558659
2022-01-07 15:00:00;Център;211;48.62085308056872
2022-01-07 16:00:00;Околовръстно;230;50.721739130434784
2022-01-07 16:00:00;Център;242;50.83884297520661
2022-01-07 17:00:00;Околовръстно;240;49.5375
2022-01-07 17:00:00;Център;259;47.69498069498069
2022-01-07 18:00:00;Околовръстно;206;49.76699029126213
2022-01-07 18:00:00;Център;160;49.125
2022-01-07 19:00:00;Околовръстно;141;51.75886524822696
2022-01-07 19:00:00;Център;118;48.04237288135593
2022-01-07 20:00:00;Околовръстно;75;51.04
2022-01-07 20:00:00;Център;84;49.41666666666666
